ID	Directory	CreatedAt	UpdatedAt	Title	Creator	WordsCount	UniqueWordsCount	A1Words	A2Words	B1Words	B2Words	C1Words	C2Words	A1Readability	A2Readability	B1Readability	B2Readability	C1Readability	C2Readability
a9f41c13	algis-budrys/short-fiction	2022-10-04	2022-10-04	Short Fiction	Algis Budrys	23241	4323	457	411	668	872	813	625	54	65	75	85	92	97
ca6df5ba	alison-baxter/the-usa	2022-10-04	2022-10-04	The USA	Alison Baxter	5379	1130	323	181	143	157	111	116	52	67	79	87	93	98
ca99c6f6	allsworth-anne/the-thames-murderer	2022-10-04	2022-10-04	The Thames Murderer	Allsworth Anne	6332	1380	391	199	248	227	172	101	59	70	81	89	96	99
c04741a7	ama-ata-aidoo/two-sisters	2022-10-04	2022-10-04	Two Sisters	Ama Ata Aidoo	1641	539	281	80	88	52	19	12	68	78	92	96	98	100
64956c12	amanda-brown/legally-blonde	2022-10-04	2022-10-04	Legally Blonde	Amanda Brown	14018	1947	415	286	335	354	244	163	59	70	79	87	92	98
413fcf3f	amara-bavani-dev/for-a-horseshoe-nail	2022-10-04	2022-10-04	For a Horseshoe Nail	Amara Bavani Dev	355	227	126	42	25	16	10	6	61	76	84	91	95	99
18a163fd	ambrose-bierce/an-adventure-at-brownville	2022-10-04	2022-10-04	An Adventure at Brownville	Ambrose Bierce	1298	432	236	87	48	44	10	5	71	86	93	98	99	100
e19865ec	ambrose-bierce/beyond-the-wall	2022-10-04	2022-10-04	Beyond the Wall	Ambrose Bierce	1307	438	241	85	53	40	15	3	72	84	91	98	100	100
e2e94449	ambrose-bierce/killed-at-resaca	2022-10-04	2022-10-04	Killed at Resaca	Ambrose Bierce	829	351	204	58	41	26	14	6	65	78	89	95	98	100
1beddf05	ambrose-bierce/one-of-the-missing	2022-10-04	2022-10-04	One of the Missing	Ambrose Bierce	842	311	172	59	38	28	10	3	55	71	80	90	95	100
aab3857a	ambrose-bierce/the-damned-thing	2022-10-04	2022-10-04	The Damned Thing	Ambrose Bierce	932	342	203	61	34	23	16	4	69	81	87	91	100	100
d2644bf5	ambrose-bierce/the-devil-s-dictionary	2022-10-04	2022-10-04	The Devil’s Dictionary	Ambrose Bierce	30747	7392	466	472	866	1370	1647	1518	38	49	64	77	88	96
c9990bc3	ambrose-bierce/the-man-and-the-snake	2022-10-04	2022-10-04	The Man and the Snake	Ambrose Bierce	620	389	173	66	64	50	23	6	56	71	83	94	98	99
e37db286	ambrose-bierce/the-stranger	2022-10-04	2022-10-04	The Stranger	Ambrose Bierce	665	258	151	45	28	18	9	5	65	80	87	91	95	98
eab3e9ab	ambrose-bierce/three-and-one-are-one	2022-10-04	2022-10-04	Three and One Are One	Ambrose Bierce	444	228	144	38	17	17	5	5	71	84	90	95	97	100
e9706c0a	amos-eduardo/amazon-rally	2022-10-04	2022-10-04	Amazon Rally	Amos Eduardo	702	170	100	28	10	14	9	9	59	70	76	89	94	100
9844ab18	anatole-france/penguin-island	2022-10-04	2022-10-04	Penguin Island	Anatole France	41067	6367	467	472	887	1363	1494	1151	45	58	72	85	94	99
a183b8b8	andre-norton/plague-ship	2022-10-04	2022-10-04	Plague Ship	Andre Norton	30121	4523	450	430	686	919	962	690	48	61	72	83	94	99
b5c6c615	andre-norton/star-born	2022-10-04	2022-10-04	Star Born	Andre Norton	30217	4131	435	408	631	867	880	581	52	64	75	87	95	99
5460c5d4	andre-norton/star-hunter	2022-10-04	2022-10-04	Star Hunter	Andre Norton	17069	3122	418	363	506	620	619	394	51	64	76	86	95	99
5b03954b	andre-norton/storm-over-warlock	2022-10-04	2022-10-04	Storm Over Warlock	Andre Norton	30550	4336	436	394	656	862	939	661	49	62	74	86	94	98
4e952db6	andre-norton/the-time-traders	2022-10-04	2022-10-04	The Time Traders	Andre Norton	31750	4293	446	423	675	885	919	611	52	64	76	88	96	99
edace60	andre-norton/voodoo-planet	2022-10-04	2022-10-04	Voodoo Planet	Andre Norton	11913	2765	426	345	484	555	493	313	49	62	73	84	93	99
624cec51	andrea-m-hutchinson/home-for-christmas	2022-10-04	2022-10-04	Home for Christmas	Andrea M. Hutchinson	2272	645	292	114	88	75	37	23	63	77	84	91	95	97
50c673b2	andrea-m-hutchinson/missing-in-sydney	2022-10-04	2022-10-04	Missing in Sydney	Andrea M. Hutchinson	2061	615	269	115	76	77	43	23	66	78	86	93	97	99
a025cf8a	andrew-matthews/freckles	2022-10-04	2022-10-04	Freckles	Andrew Matthews	1557	304	174	56	35	20	8	7	70	78	86	91	93	99
4150d785	andy-cowle/sink-or-swim	2022-10-04	2022-10-04	Sink or Swim	Andy Cowle	9752	1740	414	265	318	329	212	125	64	74	83	91	95	99
24f78769	angela-brazil/a-popular-schoolgirl	2022-10-04	2022-10-04	A Popular Schoolgirl	Angela Brazil	31896	5173	467	465	756	1122	1097	891	53	66	76	87	94	99
c3212450	anita-desai/a-devoted-son	2022-10-04	2022-10-04	A Devoted Son	Anita Desai	1307	527	245	100	83	58	28	10	68	80	89	96	99	100
e4387737	anita-loos/gentlemen-prefer-blondes	2022-10-04	2022-10-04	Gentlemen Prefer Blondes	Anita Loos	16669	1653	411	253	287	308	210	108	70	80	87	93	97	99
7abc2d30	ann-radcliffe/a-sicilian-romance	2022-10-04	2022-10-04	A Sicilian Romance	Ann Radcliffe	32638	3931	446	403	672	894	852	538	41	58	75	88	97	100
101821b7	anna-sewell/black-beauty	2022-10-04	2022-10-04	Black Beauty	Anna Sewell	7604	943	379	197	164	118	50	23	70	82	91	96	99	100
5c4b99dc	anne-bront/agnes-grey	2022-10-04	2022-10-04	Agnes Grey	Anne Brontë	31452	4680	460	457	775	1021	1029	717	56	68	81	90	96	100
